Timestamp;N;Repetition;Q1TimeInMsec;Q2TimeInMsec;Q3TimeInMsec;CustomerTableInByte;ItemTableInByte;JoinTableInByte;NumRecordsToProcess;Type
1485919094;3280000;8;204164;1509809;11879577;314880000;55104000;1208;150;RowStore
1485919095;3280000;9;182084;4963699;2325413;314880000;55104000;1208;150;ColumnStore
1485919096;3280000;9;226401;2042859;13970037;314880000;55104000;1208;150;RowStore
1485919097;3280000;10;200456;4373406;2164526;314880000;55104000;1208;150;ColumnStore
1485919098;3280000;10;200377;1877445;10417268;314880000;55104000;1208;150;RowStore
1485919099;3280000;11;187833;4969504;2302876;314880000;55104000;1208;150;ColumnStore
1485919100;3280000;11;196304;1235204;14126493;314880000;55104000;1208;150;RowStore
1485919101;3280000;12;208004;7095738;2672145;314880000;55104000;1208;150;ColumnStore
1485919102;3280000;12;315346;1907529;13689333;314880000;55104000;1208;150;RowStore
1485919103;3280000;13;212901;5230072;2238969;314880000;55104000;1208;150;ColumnStore
1485919104;3280000;13;255353;1442750;11599167;314880000;55104000;1208;150;RowStore
1485919105;3280000;14;260361;5013904;2216939;314880000;55104000;1208;150;ColumnStore
1485919106;3280000;14;183664;2356474;12111493;314880000;55104000;1208;150;RowStore
1485919107;3280000;15;185126;4665702;2369361;314880000;55104000;1208;150;ColumnStore
1485919108;3280000;15;241175;1489259;21927430;314880000;55104000;1208;150;RowStore
1485919109;3280000;16;183989;4995904;2818185;314880000;55104000;1208;150;ColumnStore
1485919110;3280000;16;224129;1464752;14848488;314880000;55104000;1208;150;RowStore
1485919111;3280000;17;283332;4903868;2153000;314880000;55104000;1208;150;ColumnStore
1485919112;3280000;17;205804;1239595;13835604;314880000;55104000;1208;150;RowStore
1485919113;3280000;18;213001;4824133;2140060;314880000;55104000;1208;150;ColumnStore
1485919114;3280000;18;247951;1909362;11378402;314880000;55104000;1208;150;RowStore
1485919115;3280000;19;190651;4410195;2617353;314880000;55104000;1208;150;ColumnStore
1485919116;3280000;19;233854;1412087;11263177;314880000;55104000;1208;150;RowStore
