timestamp;NumberOfCustomers;CurrentRepetition;DurationQ1SingleThreaded;DurationQ2SingleThreaded;DurationQ3SingleThreaded;DurationQ1MultiThreaded;DurationQ2MultiThreaded;DurationQ3MultiThreaded;dataSetSizeCustomersInByte;dataSetSizeItemsInByte;dataSetSizeJoinTableInByte;NumberOfRecordsToProcess;Q1NumRecordsToProcess;Unset1;Q1NumRecordToProcessedDeRefSize;Q2NumRecordsToProcess;Unset2;Q2NumRecordToProcessedDeRefSize;Q3NumRecordsToProcess;Unset3;Q3NumRecordToProcessedDeRefSize;Q1GBpsecSingleThreaded;Q2GBpsecSingleThreaded;Q3GBpsecSingleThreaded;Q1GBpsecMultiThreaded;Q2GBpsecMultiThreaded;Q3GBpsecMultiThreaded;Type;Platform;ProcessVmSize
1486170408;3466666;14;1421;5954862;1898142;280687;6879446;2870999;388266592;77653312;1200;150;150;0;8;150;0;112;2426666;0;8;0.844476;0.002821;10.227542;0.004275;0.002442;6.761872;ColumnStore;Host;0.412109
1486170410;3466666;14;2060;1541884;4463864;311034;1923161;4142573;388266592;77653312;1200;150;150;0;32;150;0;112;2426666;0;32;2.330097;0.010896;17.395985;0.015432;0.008736;18.745188;RowStore;Host;0.412109
1486170411;3466666;14;0;9192522;1017623;0;3432487;440714;388266592;77653312;19413328;2426666;0;0;0;2426666;0;80;2426666;0;8;0.000000;21.118610;19.077131;0.000000;56.557617;44.049717;ColumnStore;Device;0.412109
1486170414;5933332;0;1500;6482680;3281358;392917;6050555;3808026;664533184;132906624;1200;150;150;0;8;150;0;112;4153332;0;8;0.800000;0.002592;10.125886;0.003054;0.002777;8.725429;ColumnStore;Host;0.694336
1486170417;5933332;0;1432;1576210;7444127;742895;1872361;7439493;664533184;132906624;1200;150;150;0;32;150;0;112;4153332;0;32;3.351955;0.010658;17.853891;0.006461;0.008973;17.865011;RowStore;Host;0.694336
1486170420;5933332;0;0;15476655;1657430;0;5183589;617764;664533184;132906624;33226656;4153332;0;0;0;4153332;0;80;4153332;0;8;0.000000;21.468887;20.047096;0.000000;64.099709;53.785355;ColumnStore;Device;0.694336
1486170422;5933332;1;1408;6501606;3263223;327690;6057406;3516338;664533184;132906624;1200;150;150;0;8;150;0;112;4153332;0;8;0.852273;0.002584;10.182159;0.003662;0.002773;9.449222;ColumnStore;Host;0.694336
1486170425;5933332;1;1429;1595026;7359477;311306;1306785;6494729;664533184;132906624;1200;150;150;0;32;150;0;112;4153332;0;32;3.358992;0.010533;18.059248;0.015419;0.012856;20.463770;RowStore;Host;0.694336
1486170428;5933332;1;0;15473070;1655411;0;5245511;619805;664533184;132906624;33226656;4153332;0;0;0;4153332;0;80;4153332;0;8;0.000000;21.473862;20.071547;0.000000;63.343033;53.608242;ColumnStore;Device;0.694336
1486170431;5933332;2;1574;6981806;3212619;353032;4469378;3321047;664533184;132906624;1200;150;150;0;8;150;0;112;4153332;0;8;0.762389;0.002406;10.342545;0.003399;0.003759;10.004874;ColumnStore;Host;0.694336
1486170433;5933332;2;1368;1655222;7276001;302950;2049909;7311415;664533184;132906624;1200;150;150;0;32;150;0;112;4153332;0;32;3.508772;0.010150;18.266439;0.015844;0.008195;18.177963;RowStore;Host;0.694336
1486170436;5933332;2;0;15470036;1652517;0;5172919;612763;664533184;132906624;33226656;4153332;0;0;0;4153332;0;80;4153332;0;8;0.000000;21.478073;20.106697;0.000000;64.231926;54.224323;ColumnStore;Device;0.694336
1486170439;5933332;3;1367;6465803;3301056;250067;4403114;4492517;664533184;132906624;1200;150;150;0;8;150;0;112;4153332;0;8;0.877835;0.002598;10.065463;0.004799;0.003815;7.396000;ColumnStore;Host;0.694336
1486170441;5933332;3;1214;1590659;7363004;444175;2026313;6691136;664533184;132906624;1200;150;150;0;32;150;0;112;4153332;0;32;3.953872;0.010562;18.050598;0.010807;0.008291;19.863089;RowStore;Host;0.694336
1486170444;5933332;3;0;15493699;1685438;0;5200802;620220;664533184;132906624;33226656;4153332;0;0;0;4153332;0;80;4153332;0;8;0.000000;21.445271;19.713961;0.000000;63.887566;53.572376;ColumnStore;Device;0.694336
1486170447;5933332;4;1352;6571308;4041434;404251;5034425;3720327;664533184;132906624;1200;150;150;0;8;150;0;112;4153332;0;8;0.887574;0.002557;8.221502;0.002968;0.003337;8.931112;ColumnStore;Host;0.694336
1486170450;5933332;4;1320;1693493;7371013;469767;2107403;6794709;664533184;132906624;1200;150;150;0;32;150;0;112;4153332;0;32;3.636364;0.009920;18.030985;0.010218;0.007972;19.560312;RowStore;Host;0.694336
1486170452;5933332;4;0;15473829;1669000;0;5183489;681451;664533184;132906624;33226656;4153332;0;0;0;4153332;0;80;4153332;0;8;0.000000;21.472809;19.908123;0.000000;64.100952;48.758690;ColumnStore;Device;0.694336
1486170455;5933332;5;1298;6456909;3298908;274700;4709852;3566778;664533184;132906624;1200;150;150;0;8;150;0;112;4153332;0;8;0.924499;0.002602;10.072017;0.004368;0.003567;9.315595;ColumnStore;Host;0.694336
1486170458;5933332;5;1318;1662499;7622324;748922;1694478;7403574;664533184;132906624;1200;150;150;0;32;150;0;112;4153332;0;32;3.641882;0.010105;17.436497;0.006409;0.009915;17.951685;RowStore;Host;0.694336
1486170461;5933332;5;0;15472569;1675429;0;5333642;625667;664533184;132906624;33226656;4153332;0;0;0;4153332;0;80;4153332;0;8;0.000000;21.474558;19.831730;0.000000;62.296375;53.105980;ColumnStore;Device;0.694336
1486170463;5933332;6;1354;6425891;3207764;355215;6067252;3923962;664533184;132906624;1200;150;150;0;8;150;0;112;4153332;0;8;0.886263;0.002614;10.358199;0.003378;0.002769;8.467630;ColumnStore;Host;0.694336
1486170466;5933332;6;1518;1633772;7359145;339323;2086368;7695729;664533184;132906624;1200;150;150;0;32;150;0;112;4153332;0;32;3.162055;0.010283;18.060064;0.014146;0.008052;17.270182;RowStore;Host;0.694336
1486170469;5933332;6;0;15469854;1654509;0;5178085;622614;664533184;132906624;33226656;4153332;0;0;0;4153332;0;80;4153332;0;8;0.000000;21.478327;20.082489;0.000000;64.167847;53.366383;ColumnStore;Device;0.694336
1486170472;5933332;7;1414;6437400;3291944;294823;7550594;3215566;664533184;132906624;1200;150;150;0;8;150;0;112;4153332;0;8;0.848656;0.002610;10.093324;0.004070;0.002225;10.333067;ColumnStore;Host;0.694336
